"id","treatment"
1,"LastDoseFree"
2,"Graduated"
3,"Graduated"
4,"Graduated"
5,"Graduated"
6,"FirstDoseFree.first_dose_free"
7,"Graduated"
8,"LastDoseFree"
9,"LastDoseFree"
10,"LastDoseFree"
11,"Graduated"
12,"FirstDoseFree.first_dose_free"
13,"Graduated"
14,"Control"
15,"Graduated"
16,"LastDoseFree"
17,"LastDoseFree"
18,"Graduated"
19,"FirstDoseFree.first_dose_free"
20,"Graduated"
21,"Graduated"
22,"LastDoseFree"
23,"FirstDoseFree.first_dose_free"
24,"LastDoseFree"
25,"LastDoseFree"
26,"Graduated"
27,"LastDoseFree"
28,"Graduated"
29,"Graduated"
30,"FirstDoseFree.first_dose_free"
31,"LastDoseFree"
32,"LastDoseFree"
33,"LastDoseFree"
34,"Control"
35,"Graduated"
36,"Graduated"
37,"LastDoseFree"
38,"LastDoseFree"
39,"Graduated"
40,"Graduated"
41,"FirstDoseFree.first_dose_free"
42,"Graduated"
43,"Graduated"
44,"Graduated"
45,"LastDoseFree"
46,"LastDoseFree"
47,"Graduated"
48,"Graduated"
49,"Graduated"
50,"LastDoseFree"
51,"Graduated"
52,"Graduated"
53,"LastDoseFree"
54,"FirstDoseFree.first_dose_free"
55,"LastDoseFree"
56,"FirstDoseFree.first_dose_free"
57,"LastDoseFree"
58,"LastDoseFree"
59,"Graduated"
60,"LastDoseFree"
61,"LastDoseFree"
62,"Graduated"
63,"LastDoseFree"
64,"FirstDoseFree.first_dose_free"
65,"Graduated"
66,"FirstDoseFree.first_dose_free"
67,"FirstDoseFree.first_dose_free"
68,"LastDoseFree"
69,"LastDoseFree"
70,"Graduated"
71,"Graduated"
72,"FirstDoseFree.first_dose_free"
73,"LastDoseFree"
74,"LastDoseFree"
75,"LastDoseFree"
76,"Graduated"
77,"LastDoseFree"
78,"Graduated"
79,"Graduated"
80,"LastDoseFree"
81,"LastDoseFree"
82,"Graduated"
83,"FirstDoseFree.first_dose_free"
84,"Graduated"
85,"Graduated"
86,"LastDoseFree"
87,"Graduated"
88,"LastDoseFree"
89,"Graduated"
90,"LastDoseFree"
91,"LastDoseFree"
92,"LastDoseFree"
93,"LastDoseFree"
94,"Graduated"
95,"LastDoseFree"
96,"LastDoseFree"
97,"LastDoseFree"
98,"FirstDoseFree.first_dose_free"
99,"LastDoseFree"
100,"LastDoseFree"
101,"LastDoseFree"
102,"Graduated"
103,"Graduated"
104,"Graduated"
105,"Graduated"
106,"FirstDoseFree.first_dose_free"
107,"Graduated"
108,"LastDoseFree"
109,"Graduated"
110,"LastDoseFree"
111,"LastDoseFree"
112,"LastDoseFree"
113,"Graduated"
114,"Graduated"
115,"LastDoseFree"
116,"LastDoseFree"
117,"LastDoseFree"
118,"Graduated"
119,"FirstDoseFree.first_dose_free"
120,"LastDoseFree"
121,"LastDoseFree"
122,"Graduated"
123,"LastDoseFree"
124,"FirstDoseFree.first_dose_free"
125,"LastDoseFree"
126,"Graduated"
127,"Graduated"
128,"LastDoseFree"
129,"FirstDoseFree.first_dose_free"
130,"Control"
131,"FirstDoseFree.first_dose_free"
132,"FirstDoseFree.first_dose_free"
133,"Graduated"
134,"Graduated"
135,"Graduated"
136,"FirstDoseFree.first_dose_free"
137,"Graduated"
138,"FirstDoseFree.first_dose_free"
139,"LastDoseFree"
140,"LastDoseFree"
141,"Graduated"
142,"LastDoseFree"
143,"LastDoseFree"
144,"Graduated"
145,"Graduated"
146,"LastDoseFree"
147,"Graduated"
148,"FirstDoseFree.first_dose_free"
149,"LastDoseFree"
150,"LastDoseFree"
151,"Graduated"
152,"LastDoseFree"
153,"FirstDoseFree.first_dose_free"
154,"Control"
155,"FirstDoseFree.first_dose_free"
156,"Graduated"
157,"FirstDoseFree.first_dose_free"
158,"Graduated"
159,"LastDoseFree"
160,"Control"
161,"FirstDoseFree.first_dose_free"
162,"LastDoseFree"
163,"Graduated"
164,"LastDoseFree"
165,"FirstDoseFree.first_dose_free"
166,"Graduated"
167,"Graduated"
168,"LastDoseFree"
169,"FirstDoseFree.first_dose_free"
170,"FirstDoseFree.first_dose_free"
