Y,W,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,tau_hat
48.76,0,48,71,4,2,2,0.496,-0.294,0.657,-1.016,0.417,0,0,1,1,1,3,3,1,2,3,3.06096528518134
55.57,1,53,66,5,4,2,-1.377,1.219,-2.517,-0.08,-0.403,0,0,0,0,1,3,1,2,1,4,3.4137881803433
57.1,0,47,89,4,2,2,1.138,-0.45,-0.039,1.304,-0.192,0,0,1,0,0,1,2,4,3,3,3.18757191785892
51.73,1,64,61,4,3,1,-0.483,0.722,-1.233,-0.41,-2.051,0,1,0,0,1,3,1,5,4,5,3.65531423724516
47.22,1,30,98,5,4,2,-0.698,0.502,-0.11,-0.936,1.13,0,0,0,0,1,3,3,5,4,1,2.81998961363392
61.12,1,48,79,3,4,1,-0.719,-0.143,-0.937,-1.693,-0.177,0,0,0,0,0,3,2,3,5,2,2.89873929742107
60.01,0,47,92,2,3,3,-1.054,0.815,-1.027,-0.558,-0.754,1,1,0,0,1,2,4,3,4,3,2.33756524783808
51.68,0,73,80,3,5,1,-0.122,0.665,0.978,0.052,-0.023,0,0,0,1,1,4,5,3,4,2,5.08781741062696
40.98,1,35,79,4,2,3,0.125,-2.646,-1.432,2.047,2.658,0,0,0,0,0,1,1,4,4,4,2.46790223407075
55.5,1,52,85,4,3,3,1.896,1.206,-0.114,-0.908,-0.414,0,0,0,0,1,3,1,1,4,4,3.30857863777475
50.28,1,52,67,3,4,1,0.41,-1.419,0.911,-0.303,1.5,0,0,1,1,0,1,3,2,5,2,3.06753298813028
57.34,0,38,98,4,3,2,0.04,-0.104,-1.27,-0.67,-1.376,0,0,1,1,0,5,1,5,4,2,3.02166873204196
51.86,1,30,75,2,3,2,1.715,1.315,-0.725,0.001,-1.56,1,0,1,0,0,2,5,5,4,3,0.785031703687623
53.94,1,29,74,4,4,1,-0.486,-0.74,-0.791,-1.202,-0.135,1,1,1,1,1,4,3,2,2,3,1.87532821144663
45.35,0,28,79,5,5,2,1.14,-0.313,0.427,-0.285,0.272,0,0,1,1,0,5,2,3,5,5,2.04395311218907
48.77,0,73,78,3,2,2,1.456,0.641,1.118,0.577,-0.272,0,0,0,0,1,2,3,1,3,3,4.73722408015194
54.56,1,44,76,4,4,1,-1.777,0.312,-0.098,-1.298,0.036,0,1,0,0,1,5,3,2,3,2,3.29547717758059
57.34,1,62,68,5,1,1,-0.267,-1.152,-2.374,0.691,-0.421,0,0,0,0,0,4,1,1,3,3,3.31536738048976
60.51,1,56,61,4,4,2,0.922,-0.161,-0.276,0.848,1.66,1,0,1,0,0,5,2,1,1,3,3.15807541117303
53.52,1,47,75,5,4,2,1.046,-0.818,1.196,0.863,0.804,0,1,0,0,1,4,4,5,5,5,3.03295799161231
57.78,0,48,94,4,3,1,-0.523,0.866,0.062,-1.975,0.212,0,1,0,0,0,5,3,5,5,4,3.29091032840044
75.02,1,68,91,3,3,1,-0.783,0.278,0.562,0.415,0.159,1,1,0,0,1,1,2,5,3,4,3.77911165848253
51.42,0,55,89,1,2,2,0.136,-0.694,-1.755,0.386,1.164,0,1,1,0,1,2,1,1,2,2,2.86909479182995
54.34,1,64,88,2,1,1,0.48,-1.518,-0.14,0.863,0.409,0,0,0,0,1,2,3,4,3,4,3.65333257975241
68.74,1,59,81,4,4,2,1.81,0.289,2.642,1.21,-1.73,0,1,1,1,1,2,1,1,4,1,3.85654576434835
61.34,1,25,93,4,4,1,-1.301,0.168,1.512,-0.688,1.063,0,0,0,0,1,3,5,1,3,4,2.60568644493667
70.06,1,65,84,4,1,1,0.798,1.201,-2.313,0.023,-0.402,1,0,0,1,1,2,1,2,1,5,4.19311932233835
55.96,0,47,70,3,2,1,0.508,-0.196,1.151,0.051,0.214,1,0,0,0,0,5,4,4,5,1,2.26330614676808
