X1,X2,X3
75.3,87.4,1
43.9,94.4,3
83,88.1,3
51,55,2
60,42.4,2
70.4,46.5,3
70.8,52.1,2
57.4,69.2,4
53.8,47.3,1
78.2,58.8,3
60.8,42,4
47.6,63.2,3
39.1,76.6,3
35.8,59.9,3
60.2,62.8,5
66.3,49.9,1
38.3,91.6,2
50.1,54.2,3
70.7,54.5,5
29.4,70.8,3
73.9,62.3,1
52.4,90.6,1
49.6,67,3
55.8,72.8,1
84.2,65.3,1
60,74.2,4
50.5,63,3
55.3,28.1,2
53.8,67.8,3
72.4,63.8,4
60.7,74.4,2
56.5,39.5,1
61,65,3
58.2,65.4,2
58.6,62.6,3
70.3,83.6,2
64.6,11,1
66.9,79.3,2
50,103.2,3
41.7,63.9,1
63.8,72.3,2
47.7,31.8,4
48.7,56.1,1
57.1,57.5,3
46.6,73.1,3
47.1,59.5,2
54.9,64.7,2
55.2,78,1
55.4,53.4,1
32.9,59.9,3
59.3,74.7,5
46.3,42.9,1
51.4,36.9,2
51.9,77.9,4
64,54.4,1
63.2,59.2,5
44.9,75.3,2
31.2,59.8,3
68.1,68,3
39.1,64.3,4
65.1,52.1,3
63.6,30.8,3
53.3,83.2,3
56.6,56.7,3
57.6,68.3,2
44.2,58.5,3
61.1,44.5,3
53.6,65.2,5
51.8,79.8,1
36.5,78.8,5
36.1,51,2
61.4,45.6,5
46.3,66.3,2
56.6,62.9,5
39.7,53.7,5
72.2,51.6,2
65.4,49.8,3
41.5,52.8,1
63.2,62.9,3
77.1,43.2,2
52,40.2,4
36.6,79.4,3
64,39.6,1
76.4,83.4,2
63.2,47.6,4
52.4,79.8,4
52.4,42.7,2
53.8,28.9,3
52.5,45.2,2
38.7,55.2,1
59.2,56.2,1
48,60.1,1
61.1,48.5,1
61.9,74.8,5
42.6,59.7,3
49.9,56,1
46.9,59.4,1
63.6,53.6,2
51.1,69.7,1
61.2,47.6,1
68.5,60.5,4
40.7,66.9,3
65.3,43.7,2
56.1,45,2
49.7,52.9,4
70.3,36.9,1
43,37,1
79.3,71,3
72.8,52.9,1
53.3,63.3,2
43.4,59,5
64.1,65,4
59,46,3
48.8,62.8,3
53.9,30.1,3
54.6,46.4,3
44.5,73.4,2
47.3,46.5,2
73.3,54.8,2
58.6,61.7,2
35.9,57.4,3
49,45.7,3
45.8,87.5,3
46.8,53.8,4
50.8,79.9,1
55.8,37.2,2
76.4,54.4,2
56.5,66.4,4
66.3,59.2,3
55.4,47,5
45,72.7,3
43.3,52.3,3
63.1,49.2,1
58.6,95.9,1
76.2,39.8,4
60.4,53.5,3
52.3,42.9,4
37.7,79.9,3
49.3,61.8,2
52.5,80.9,1
53.8,57.8,1
53.3,45.4,5
55,51.9,1
58.9,36.5,3
42.1,64.3,2
43.7,79.7,3
50,42.9,3
50.4,52.8,5
56.7,80.5,3
55.5,53.1,3
66.5,53.9,2
50,43.7,3
56.5,59.2,3
42.7,63,5
34.7,45.4,2
43.8,59.3,2
57.1,55.7,3
58.2,38.1,3
21.5,79.7,1
64.8,62,3
78.4,38.2,2
69.7,47.3,1
30.2,70.4,5
76.2,85.2,1
66,68.7,4
72.5,65.6,2
24.6,74.3,1
36.9,83.4,3
52.1,83.7,3
49.4,56.6,3
